name;batch_size;gamma;eps_start;eps_end;eps_decay;target_update;max_steps_per_episode;warmup_episode;save_freq;lr;lr_min;lr_decay;memory;num_episodes;reward_mean;win_rate
reference/DQN_reference.pt;128;0.99;1.0;0.1;400.0;20;100;10;1000;0.001;0.0001;5000.0;50000;10000;-1.14;98.1
lr_const/DQN_lr_const.pt;128;0.99;1.0;0.1;400.0;20;100;10;1000;0.001;0.001;5000.0;50000;10000;-21.85;74.8
eps_high/DQN_eps_high.pt;128;0.99;1.0;0.5;400.0;20;100;10;1000;0.001;0.0001;5000.0;50000;10000;-54.46;99.4
eps_low/DQN_eps_low.pt;128;0.99;1.0;0.01;400.0;20;100;10;1000;0.001;0.0001;5000.0;50000;10000;-35.22;54.2
update_high/DQN_update_high.pt;128;0.99;1.0;0.1;400.0;2;100;10;1000;0.001;0.0001;5000.0;50000;10000;-31.89;75.5
update_low/DQN_update_low.pt;128;0.99;1.0;0.1;400.0;200;100;10;1000;0.001;0.0001;5000.0;50000;10000;-53.65;35.3
gamma_low/DQN_gamma_low.pt;128;0.2;1.0;0.1;400.0;20;100;10;1000;0.001;0.0001;5000.0;50000;10000;-109.1;1.0
batch_high/DQN_batch_high.pt;512;0.99;1.0;0.1;400.0;20;100;10;1000;0.001;0.0001;5000.0;50000;10000;3.1;96.6
batch_low/DQN_batch_low.pt;32;0.99;1.0;0.1;400.0;20;100;10;1000;0.001;0.0001;5000.0;50000;10000;1.41;100.0
reference_2/DQN_reference_2.pt;128;0.99;1.0;0.1;400.0;20;100;10;1000;0.001;0.0001;5000.0;50000;10000;3.05;100.0
lr_high/DQN_lr_high.pt;128;0.99;1.0;0.1;400.0;20;100;10;1000;0.01;0.01;5000.0;50000;10000;-265.87;0.0
lr_low/DQN_lr_low.pt;128;0.99;1.0;0.1;400.0;20;100;10;1000;0.0001;0.0001;5000.0;50000;10000;-103.95;13.0
